Area Abbreviation,Area Code,Area,Item Code,Item,Element Code,Element,Unit,latitude,longitude,Y2009,Y2010,Y2011,Y2012,Y2013
ALB,3,Albania,2805,Rice (Milled Equivalent),5521,Feed,1000 tonnes,41.15,20.17,0,0,0,0,0
DZA,4,Algeria,2805,Rice (Milled Equivalent),5521,Feed,1000 tonnes,28.03,1.66,1,1,6,2,2
ARM,1,Armenia,2805,Rice (Milled Equivalent),5521,Feed,1000 tonnes,40.07,45.04,0,0,0,0,0
AUT,11,Austria,2805,Rice (Milled Equivalent),5521,Feed,1000 tonnes,47.52,14.55,0,0,0,0,0
BGD,16,Bangladesh,2805,Rice (Milled Equivalent),5521,Feed,1000 tonnes,23.68,90.36,964,1003,1014,1011,1031
BRB,14,Barbados,2805,Rice (Milled Equivalent),5521,Feed,1000 tonnes,13.19,-59.54,0,0,0,0,0
BLR,57,Belarus,2805,Rice (Milled Equivalent),5521,Feed,1000 tonnes,53.71,27.95,0,0,0,0,0
BEL,255,Belgium,2805,Rice (Milled Equivalent),5521,Feed,1000 tonnes,50.5,4.47,70,70,58,62,64
BOL,19,Bolivia (Plurinational State of),2805,Rice (Milled Equivalent),5521,Feed,1000 tonnes,-16.29,-63.59,3,3,3,0,3
BIH,80,Bosnia and Herzegovina,2805,Rice (Milled Equivalent),5521,Feed,1000 tonnes,43.92,17.68,0,0,0,0,0
BRN,26,Brunei Darussalam,2805,Rice (Milled Equivalent),5521,Feed,1000 tonnes,4.54,114.73,7,8,6,6,7
BGR,27,Bulgaria,2805,Rice (Milled Equivalent),5521,Feed,1000 tonnes,42.73,25.49,7,1,5,2,5
BFA,233,Burkina Faso,2805,Rice (Milled Equivalent),5521,Feed,1000 tonnes,12.24,-1.56,22,28,34,34,34
KHM,115,Cambodia,2805,Rice (Milled Equivalent),5521,Feed,1000 tonnes,12.57,104.99,162,210,187,189,188
CHN,96,"China, Hong Kong SAR",2805,Rice (Milled Equivalent),5521,Feed,1000 tonnes,22.4,114.11,0,0,0,0,0
CHN,41,"China, mainland",2805,Rice (Milled Equivalent),5521,Feed,1000 tonnes,35.86,104.2,11940,11468,11589,12100,12052
CHN,214,"China, Taiwan Province of",2805,Rice (Milled Equivalent),5521,Feed,1000 tonnes,23.7,120.96,31,74,72,94,65
COL,44,Colombia,2805,Rice (Milled Equivalent),5521,Feed,1000 tonnes,4.57,-74.3,78,49,49,49,29
CIV,107,Côte d'Ivoire,2805,Rice (Milled Equivalent),5521,Feed,1000 tonnes,7.54,-5.55,183,145,200,211,133
CUB,49,Cuba,2805,Rice (Milled Equivalent),5521,Feed,1000 tonnes,21.52,-77.78,142,58,142,104,96
